,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
149,2023-8998,Adelaide 2,Hard,32,A,20230109,283,106186,,WC,Jason Kubler,R,178.0,AUS,29.6,144869,,Q,Tomas Martin Etcheverry,R,196.0,ARG,23.4,7-6(2) 7-5,3,R32,130.0,10.0,1.0,78.0,57.0,47.0,12.0,12.0,5.0,5.0,10.0,1.0,70.0,43.0,34.0,17.0,12.0,1.0,2.0,86,613,80.0,649.0
150,2023-8998,Adelaide 2,Hard,32,A,20230109,282,200175,6.0,,Miomir Kecmanovic,R,183.0,SRB,23.3,106378,,PR,Kyle Edmund,R,188.0,GBR,28.0,6-4 7-5,3,R32,84.0,7.0,2.0,60.0,39.0,35.0,11.0,11.0,2.0,2.0,11.0,6.0,64.0,35.0,27.0,15.0,11.0,0.0,2.0,28,1420,583.0,52.0
151,2023-8998,Adelaide 2,Hard,32,A,20230109,280,104898,,LL,Robin Haase,R,190.0,NED,35.7,126127,,,Benjamin Bonzi,R,185.0,FRA,26.5,3-6 7-6(8) 7-6(3),3,R32,130.0,13.0,2.0,100.0,57.0,42.0,23.0,16.0,1.0,5.0,16.0,3.0,115.0,63.0,44.0,28.0,17.0,3.0,6.0,257,207,50.0,911.0
152,2023-8998,Adelaide 2,Hard,32,A,20230109,279,105357,,Q,John Millman,R,183.0,AUS,33.5,105077,,,Albert Ramos,L,188.0,ESP,34.9,4-6 6-3 7-6(6),3,R32,166.0,7.0,1.0,109.0,77.0,53.0,15.0,16.0,3.0,6.0,7.0,0.0,93.0,68.0,43.0,18.0,15.0,6.0,9.0,148,378,38.0,1075.0
153,2023-8998,Adelaide 2,Hard,32,A,20230109,278,200221,7.0,,Alejandro Davidovich Fokina,R,183.0,ESP,23.5,206909,,,Brandon Nakashima,R,185.0,USA,21.4,6-2 7-6(3),3,R32,95.0,4.0,1.0,70.0,45.0,37.0,15.0,10.0,5.0,5.0,6.0,3.0,65.0,40.0,32.0,10.0,10.0,1.0,3.0,32,1280,47.0,927.0
154,2023-8998,Adelaide 2,Hard,32,A,20230109,277,126205,8.0,,Tommy Paul,R,185.0,USA,25.6,106331,,LL,Christopher Oconnell,R,183.0,AUS,28.6,6-4 7-5,3,R32,88.0,6.0,0.0,57.0,39.0,32.0,14.0,11.0,1.0,1.0,7.0,1.0,66.0,41.0,32.0,10.0,11.0,3.0,5.0,35,1185,79.0,652.0
155,2023-8998,Adelaide 2,Hard,32,A,20230109,276,207733,,,Jack Draper,L,191.0,GBR,21.0,132283,,,Lorenzo Sonego,R,191.0,ITA,27.6,6-4 6-2,3,R32,82.0,2.0,1.0,44.0,27.0,21.0,12.0,9.0,3.0,4.0,2.0,1.0,50.0,26.0,14.0,11.0,9.0,4.0,8.0,40,1010,44.0,950.0
156,2023-8998,Adelaide 2,Hard,32,A,20230109,275,144817,,,Marc Andrea Huesler,L,196.0,SUI,26.5,126239,,,Arthur Rinderknech,R,196.0,FRA,27.4,4-6 7-6(5) 6-4,3,R32,149.0,11.0,3.0,96.0,64.0,54.0,16.0,16.0,1.0,2.0,11.0,7.0,111.0,66.0,52.0,22.0,16.0,6.0,7.0,55,846,45.0,947.0
157,2023-8998,Adelaide 2,Hard,32,A,20230109,273,111456,,,Mackenzie Mcdonald,R,178.0,USA,27.7,105554,5.0,,Daniel Evans,R,175.0,GBR,32.6,7-5 7-5,3,R32,108.0,8.0,2.0,73.0,40.0,29.0,17.0,12.0,1.0,4.0,2.0,3.0,78.0,52.0,31.0,10.0,12.0,3.0,8.0,63,775,27.0,1450.0
158,2023-8998,Adelaide 2,Hard,32,A,20230109,272,144707,,Q,Mikael Ymer,R,183.0,SWE,24.3,200325,,,Emil Ruusuvuori,R,188.0,FIN,23.7,6-4 4-6 6-3,3,R32,143.0,1.0,3.0,83.0,56.0,41.0,17.0,15.0,1.0,3.0,4.0,2.0,101.0,72.0,49.0,13.0,14.0,5.0,8.0,77,694,46.0,941.0
159,2023-8998,Adelaide 2,Hard,32,A,20230109,271,126952,,LL,Soon Woo Kwon,R,180.0,KOR,25.1,207830,,Q,Tomas Machac,R,183.0,CZE,22.2,6-4 6-4,3,R32,101.0,6.0,3.0,82.0,44.0,35.0,14.0,10.0,9.0,11.0,5.0,2.0,68.0,42.0,27.0,10.0,10.0,6.0,10.0,84,626,115.0,500.0
